TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
玉井鄉,臺南縣,10011230,10011,74996144.7766,臺南縣玉井鄉,S11-10011230
新化鎮,臺南縣,10011180,10011,61941928.1952,臺南縣新化鎮,S11-10011180
朴子市,嘉義縣,10010020,10010,49961855.3152,嘉義縣朴子市,S10-10010020
蘭嶼鄉,臺東縣,10014160,10014,47042606.3017,臺東縣蘭嶼鄉,S14-10014160
中正區,臺北市,63000050,63000,7408349.2725,臺北市中正區,S22-63000050
南州鄉,屏東縣,10013200,10013,18794660.2199,屏東縣南州鄉,S13-10013200
復興鄉,桃園縣,10003130,10003,336845920.4537,桃園縣復興鄉,S03-10003130
觀音鄉,桃園縣,10003120,10003,92312339.3724,桃園縣觀音鄉,S03-10003120
香山區,新竹市,10018030,10018,64527454.4171,新竹市香山區,S18-10018030
鼓山區,高雄市,64000020,64000,20643388.3336,高雄市鼓山區,S23-64000020
安定鄉,臺南縣,10011210,10011,31869266.0395,臺南縣安定鄉,S11-10011210
埤頭鄉,彰化縣,10007220,10007,42483082.9189,彰化縣埤頭鄉,S07-10007220
歸仁鄉,臺南縣,10011280,10011,54953665.6206,臺南縣歸仁鄉,S11-10011280
金沙鎮,金門縣,09020020,09020,43374800,金門縣金沙鎮,S24-09020020
梓官鄉,高雄縣,10012180,10012,11894556.7324,高雄縣梓官鄉,S12-10012180
美濃鎮,高雄縣,10012200,10012,118035869.3574,高雄縣美濃鎮,S12-10012200
礁溪鄉,宜蘭縣,10002050,10002,100566313.0027,宜蘭縣礁溪鄉,S02-10002050
竹田鄉,屏東縣,10013140,10013,29639558.2608,屏東縣竹田鄉,S13-10013140
北埔鄉,新竹縣,10004090,10004,53413117.6245,新竹縣北埔鄉,S04-10004090
林口鄉,臺北縣,10001170,10001,53672467.0321,臺北縣林口鄉,S01-10001170
望安鄉,澎湖縣,10016050,10016,15557740.0156,澎湖縣望安鄉,S16-10016050
路竹鄉,高雄縣,10012130,10012,50661503.332,高雄縣路竹鄉,S12-10012130
神岡鄉,臺中縣,10006080,10006,36439366.9322,臺中縣神岡鄉,S06-10006080
新社鄉,臺中縣,10006110,10006,82011823.5824,臺中縣新社鄉,S06-10006110
中寮鄉,南投縣,10008080,10008,143871232.9482,南投縣中寮鄉,S08-10008080
北區,臺中市,10019050,10019,7613580.0452,臺中市北區,S19-10019050
頭城鎮,宜蘭縣,10002040,10002,92871022.654,宜蘭縣頭城鎮,S02-10002040
田寮鄉,高雄縣,10012110,10012,89445103.1113,高雄縣田寮鄉,S12-10012110
